City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,taiping,MY,4.85,100.7333,298.27,92,100,0.84,heavy intensity rain
83,mitsamiouli,KM,-11.3847,43.2844,301.31,69,40,6.17,scattered clouds
84,okhotsk,RU,59.3833,143.3,276.3,59,67,3.29,broken clouds
85,pochutla,MX,15.7432,-96.4661,298.05,76,95,0.31,overcast clouds
86,wentzville,US,38.8114,-90.8529,287.52,71,100,0.89,overcast clouds
87,zenzeli,RU,45.9241,47.0474,297.0,49,25,10.97,scattered clouds
88,thompson,CA,55.7435,-97.8558,281.24,87,20,2.57,few clouds
89,saint-philippe,RE,-21.3585,55.7679,296.92,84,42,6.48,light rain
90,belem de sao francisco,BR,-8.7539,-38.9658,306.85,32,0,1.6,clear sky
91,enfield,AU,-34.8526,138.6026,282.94,83,0,3.09,clear sky
92,tuktoyaktuk,CA,69.4541,-133.0374,275.15,100,100,5.14,overcast clouds
93,sao miguel do araguaia,BR,-13.275,-50.1628,307.38,40,59,2.17,broken clouds
94,cabo san lucas,MX,22.8909,-109.9124,300.66,84,9,0.56,clear sky
95,itaguacu,BR,-19.8019,-40.8556,307.78,40,64,1.58,broken clouds
96,campbellsville,US,37.3434,-85.3419,290.22,45,31,1.34,scattered clouds
97,sibolga,ID,1.7427,98.7792,297.74,89,23,0.93,heavy intensity rain
98,cape town,ZA,-33.9258,18.4232,289.32,54,20,5.66,few clouds
99,port elizabeth,ZA,-33.918,25.5701,290.55,64,0,7.2,clear sky
100,kavieng,PG,-2.5744,150.7967,300.73,74,64,4.79,broken clouds
101,thinadhoo,MV,0.5333,72.9333,301.65,68,18,2.06,few clouds
102,balabac,PH,7.9868,117.0645,301.25,74,100,4.45,overcast clouds
103,tiksi,RU,71.6872,128.8694,266.8,92,99,1.87,overcast clouds
104,san policarpo,PH,12.1791,125.5072,298.47,89,97,4.83,overcast clouds
105,saint anthony,US,45.0205,-93.218,286.39,69,100,5.14,overcast clouds
106,hasaki,JP,35.7333,140.8333,299.94,87,100,8.59,overcast clouds
107,anchorage,US,61.2181,-149.9003,279.23,94,100,2.06,light rain
108,khatanga,RU,71.9667,102.5,268.5,91,96,3.91,overcast clouds
109,boyuibe,BO,-20.4167,-63.2833,293.79,23,93,2.29,overcast clouds
110,bethel,US,41.3712,-73.414,286.2,62,0,4.12,clear sky
111,khash,IR,28.2211,61.2158,299.96,11,0,6.37,clear sky
112,nelson bay,AU,-32.7167,152.15,290.42,95,86,4.92,overcast clouds
113,barrow,US,71.2906,-156.7887,273.16,74,100,5.66,overcast clouds
114,vallenar,CL,-28.5708,-70.7581,292.67,32,6,1.91,clear sky
115,qui nhon,VN,13.7667,109.2333,299.65,82,100,0.3,light rain
116,nufaru,RO,45.15,28.9167,290.63,32,75,5.14,broken clouds
117,sumenep,ID,-7.0167,113.8667,300.99,76,51,4.33,broken clouds
118,bredasdorp,ZA,-34.5322,20.0403,287.54,45,100,4.14,overcast clouds
119,regina,CA,50.4501,-104.6178,282.61,91,100,0.0,overcast clouds
120,cap malheureux,MU,-19.9842,57.6142,296.19,70,0,3.13,clear sky
121,beyneu,KZ,45.3167,55.2,302.23,10,86,5.98,overcast clouds
122,shingu,JP,33.7333,135.9833,295.07,91,53,2.68,broken clouds
123,tougue,GN,11.4667,-11.6,299.12,75,86,1.29,light rain
124,baijiantan,CN,45.6333,85.1833,298.29,21,15,1.66,few clouds
125,avarua,CK,-21.2078,-159.775,296.18,64,75,4.12,broken clouds
126,duku,NG,11.2361,4.9073,302.59,69,94,2.37,light rain
127,nosy varika,MG,-20.5833,48.5333,294.15,79,0,2.91,clear sky
128,butaritari,KI,3.0707,172.7902,300.69,70,100,5.68,overcast clouds
129,popondetta,PG,-8.7537,148.2534,295.22,96,64,1.31,broken clouds
130,domoni,KM,-12.2569,44.5319,297.42,82,47,2.35,scattered clouds
131,esna,EG,25.2934,32.554,313.16,11,0,5.11,clear sky
132,namibe,AO,-15.1961,12.1522,294.73,58,1,6.24,clear sky
133,puerto ayora,EC,-0.7393,-90.3518,293.13,92,100,4.47,overcast clouds
134,nanortalik,GL,60.1432,-45.2371,281.98,96,100,6.26,moderate rain
135,talnakh,RU,69.4865,88.3972,272.71,91,94,1.7,overcast clouds
136,pevek,RU,69.7008,170.3133,273.67,90,15,7.08,few clouds
137,norfolk,US,42.1668,-71.2495,286.74,71,20,6.69,few clouds
138,hithadhoo,MV,-0.6,73.0833,301.39,71,82,2.47,broken clouds
139,sabang,ID,5.8933,95.3214,300.85,77,100,6.2,overcast clouds
140,ormara,PK,25.2088,64.6357,299.76,84,97,7.34,overcast clouds
141,bereda,ES,43.2686,-7.5406,296.71,58,82,2.62,broken clouds
142,codrington,AU,-38.2667,141.9667,282.89,65,96,7.11,overcast clouds
143,castro,BR,-24.7911,-50.0119,286.23,53,0,4.97,clear sky
144,mponela,MW,-13.5319,33.7401,299.16,23,7,3.96,clear sky
145,provideniya,RU,64.3833,-173.3,278.56,87,93,5.17,overcast clouds
146,victoria,HK,22.2855,114.1577,302.69,83,21,5.36,few clouds
147,juneau,US,58.3019,-134.4197,282.71,92,100,12.86,light rain
148,sayat,TM,38.7839,63.8803,303.08,13,0,6.74,clear sky
149,vaini,TO,-21.2,-175.2,297.24,88,75,3.6,broken clouds
150,canutama,BR,-6.5339,-64.3831,306.24,42,93,1.44,overcast clouds
151,jalu,LY,29.0331,21.5482,312.74,14,5,6.83,clear sky
152,salalah,OM,17.0151,54.0924,300.2,89,75,4.63,broken clouds
153,lebu,CL,-37.6167,-73.65,285.62,81,74,5.16,broken clouds
154,cacapava do sul,BR,-30.5122,-53.4914,287.34,50,0,3.69,clear sky
155,irituia,BR,-1.7711,-47.4381,309.09,35,2,1.46,clear sky
156,suda,RU,59.1525,37.5582,285.21,74,100,3.53,overcast clouds
157,margate,GB,51.3813,1.3862,289.21,89,100,0.45,overcast clouds
158,camopi,GF,3.1655,-52.3158,308.72,35,5,0.73,clear sky
159,kruisfontein,ZA,-34.0033,24.7314,287.65,55,99,4.42,overcast clouds
160,de-kastri,RU,51.4667,140.7833,285.04,97,30,2.21,scattered clouds
161,srednekolymsk,RU,67.45,153.6833,274.0,97,99,2.85,overcast clouds
162,kozhva,RU,65.1073,57.0459,275.91,98,100,2.47,overcast clouds
163,preobrazheniye,RU,42.9019,133.9064,288.65,89,97,4.1,overcast clouds
164,ahipara,NZ,-35.1667,173.1667,286.8,90,70,5.81,broken clouds
165,mana,GF,5.6592,-53.7767,303.79,58,0,3.24,clear sky
166,aksu,CN,41.1231,80.2644,296.67,25,0,4.52,clear sky
167,twentynine palms,US,34.1356,-116.0542,299.22,17,16,1.37,few clouds
168,ban dung,TH,17.699,103.2596,298.77,99,100,1.93,overcast clouds
169,awbari,LY,26.5921,12.7805,312.67,8,21,7.69,few clouds
170,sao jose da coroa grande,BR,-8.8978,-35.1478,300.37,70,58,5.15,broken clouds
171,ambon,ID,-3.6954,128.1814,298.23,94,20,3.09,few clouds
172,la ronge,CA,55.1001,-105.2842,282.29,76,20,5.66,few clouds
173,olafsvik,IS,64.8945,-23.7142,283.38,83,74,5.77,broken clouds
174,usogorsk,RU,63.4106,48.6872,278.94,79,44,2.17,scattered clouds
175,mar del plata,AR,-38.0023,-57.5575,287.56,69,0,2.57,clear sky
176,briceno,CO,7.111,-75.5515,298.41,58,60,1.81,broken clouds
177,marga,RO,45.5,22.5167,284.23,76,50,1.28,scattered clouds
178,ponta do sol,PT,32.6667,-17.1,299.5,67,24,1.83,few clouds
179,tikrit,IQ,34.6071,43.6782,305.29,18,0,4.77,clear sky
180,danjiangkou,CN,32.5428,111.5086,293.21,22,100,1.41,overcast clouds
181,ponta delgada,PT,37.7333,-25.6667,296.55,88,40,5.66,scattered clouds
182,mariveles,PH,14.4833,120.4833,294.13,83,100,1.76,overcast clouds
183,cockburn town,TC,21.4612,-71.1419,301.49,75,55,3.02,broken clouds
184,vila do maio,CV,15.1333,-23.2167,302.59,82,78,8.31,broken clouds
185,kaitangata,NZ,-46.2817,169.8464,279.71,95,33,1.62,scattered clouds
186,guacimo,CR,10.2104,-83.6807,302.18,67,93,0.91,overcast clouds
187,east london,ZA,-33.0153,27.9116,290.67,72,0,6.69,clear sky
188,palmer,US,42.1584,-72.3287,286.27,63,20,8.75,few clouds
189,alampur,IN,15.8833,78.15,300.03,63,88,2.84,overcast clouds
190,arraial do cabo,BR,-22.9661,-42.0278,297.13,73,40,11.83,scattered clouds
