City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,grindavik,IS,283.41,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
272,khawhai,IN,289.44,light rain,23.3667,93.1167,Homestay Khawhai
274,dunedin,NZ,281.37,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
277,zunyi,CN,289.23,overcast clouds,27.6867,106.9072,Bishiluo Hostel
279,flin flon,CA,283.06,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
283,tuatapere,NZ,280.43,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
287,korostyshiv,UA,282.64,light rain,50.3172,29.0563,Эдем
291,esperance,AU,289.47,overcast clouds,-33.8667,121.9,Hospitality Esperance
295,coquimbo,CL,288.0,scattered clouds,-29.9533,-71.3436,Hotel San Juan
300,andenes,NO,285.14,broken clouds,69.3143,16.1194,Hotell Marena
303,otradnoye,RU,285.18,few clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
307,paamiut,GL,281.97,light rain,61.994,-49.6678,Pistut
310,williston,US,285.56,overcast clouds,48.147,-103.618,Hampton Inn & Suites Williston
314,klaksvik,FO,284.66,few clouds,62.2266,-6.589,Airbnb rooms
316,eureka,US,286.62,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
323,general roca,AR,288.5,light rain,-39.0333,-67.5833,Hotel El Recreo
326,longyearbyen,SJ,280.06,light rain,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
330,cidreira,BR,287.55,broken clouds,-30.1811,-50.2056,Hotel Castelo
332,victor harbor,AU,285.37,scattered clouds,-35.5667,138.6167,McCracken Country Club
340,jamsa,FI,285.55,clear sky,61.8642,25.19,Motel Patalahti
342,kristiinankaupunki,FI,285.53,broken clouds,62.2743,21.376,Hotel Alma
347,port lincoln,AU,283.71,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
350,kalmar,SE,289.11,scattered clouds,56.6616,16.3616,First Hotel Witt
351,hay river,CA,283.14,few clouds,60.8156,-115.7999,Ptarmigan Inn
352,beidao,CN,287.98,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
355,oudtshoorn,ZA,287.35,overcast clouds,-33.5907,22.2014,Earthbound Guest House
356,aginskoye,RU,283.22,overcast clouds,51.1,114.53,Кочевник
359,batemans bay,AU,289.32,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
361,fredericksburg,US,289.6,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
